#Species Wavelength 
#              
BeII 3130.42 
BeII 3131.07 
#            
ScII 3576.34 
ScII 3590.47 
#            
TiI  3998.64 
TiII 3321.70 
TiII 3343.76 
TiII 3491.05 
#            
VII  3951.96  
#            
CrI 3578.68  
#            
MnII 3441.99 
MnII 3460.32 
MnII 3482.90 
MnII 3488.68 
MnII 3495.83 
MnII 3497.53 
#     
CoI 3412.34  
CoI 3412.63  
CoI 3449.16  
CoI 3529.03  
CoI 3842.05  
CoI 3845.47  
#     
NiI 3437.28  
NiI 3483.77  
NiI 3500.85  
NiI 3597.71  
NiI 3807.14  
#     
CuI 3247.53  
CuI 3273.95  
#     
ZnI 3075.90  
ZnI 3302.58  
ZnI 3345.01  
#     
GeI 3039.07  
#     
YII 3549.01  
YII 3584.52  
YII 3600.74  
YII 3601.91  
YII 3611.04  
YII 3774.33  
#     
ZrII 3054.84 
ZrII 3095.07 
ZrII 3125.92 
ZrII 3129.76 
ZrII 3273.05 
ZrII 3279.26 
ZrII 3284.71 
ZrII 3305.15 
ZrII 3334.62 
ZrII 3344.79 
ZrII 3356.09 
ZrII 3357.26 
ZrII 3404.83 
ZrII 3408.08 
ZrII 3410.24 
ZrII 3430.53 
ZrII 3457.56 
ZrII 3458.93 
ZrII 3479.02 
ZrII 3479.39 
ZrII 3481.15 
ZrII 3496.20 
ZrII 3505.67 
ZrII 3506.05 
ZrII 3525.81 
ZrII 3549.51 
ZrII 3551.95 
ZrII 3556.59 
ZrII 3588.31 
ZrII 3607.37 
ZrII 3751.59 
ZrII 3766.82 
ZrII 3836.76 
ZrII 3998.96 
#     
NbII 3028.44 
NbII 3215.59 
NbII 3225.47 
#   
MoI 3864.10  
#   
RuI 3436.74  
RuI 3498.94  
RuI 3742.28  
RuI 3798.90  
RuI 3799.35  
#     
RhI 3396.82  
RhI 3434.89  
RhI 3692.36  
RhI 3700.91  
#   
PdI 3242.70  
PdI 3404.58  
PdI 3516.94  
#   
AgI 3280.68  
AgI 3382.90  
#   
SnI 3801.01  
#   
LaII 3794.77 
LaII 3949.10 
LaII 3988.51 
LaII 3995.74 
#   
CeII 3999.24 
#    
NdII 3784.24 
NdII 3810.48 
NdII 3826.41 
NdII 3838.98 
#   
SmII 3568.27 
SmII 3796.75 
SmII 3896.97 
#   
EuII 3724.93 
EuII 3819.67 
EuII 3907.11 
#   
GdII 3549.36 
GdII 3557.06 
GdII 3712.70 
GdII 3768.40 
#   
TbII 3600.41 
TbII 3702.85 
#    
DyII 3531.71 
DyII 3536.02 
DyII 3550.22 
DyII 3563.15 
DyII 3694.81 
DyII 3757.37 
DyII 3944.68 
DyII 3996.69 
#   
HoII 3466.01 
HoII 3890.65 
#   
ErII 3692.65 
ErII 3729.52 
ErII 3786.84 
ErII 3830.48 
ErII 3896.23 
ErII 3906.31 
#   
TmII 3701.36 
TmII 3795.76 
TmII 3848.02 
#   
YbII 3694.20 
#   
HfII 3276.85 
#   
OsI 3058.66  
#   
IrI 3220.78  
IrI 3800.12  
#    
PbI 3683.46  
#   
BiI 3024.64
#
ThII 3539.59
#
UII 3859.57

































